Target_ID,Latitude,Longitude,Risk_Score,Mission_Order
0,19.079503042773496,-103.65621068845,100.0,1
4,19.074641931658498,-103.65482179956,99.75763140467669,2
6,19.272558598483496,-104.05621068877,99.67360189112745,3
8,19.083669709443495,-103.652738466225,99.66154923541876,4
9,18.83366970924349,-103.934682910895,99.49801850847876,5
11,19.069780820543496,-103.668016244015,99.41827152351289,6
12,19.372558598563497,-103.669405132905,99.40829299724244,7
13,18.73297526471849,-103.78537735522,99.3228467257974,8
14,18.69825304246849,-103.74857179963502,99.30799173532588,9
16,19.1308919317035,-104.077738466565,99.30168304239884,10
17,19.5107530431185,-103.6214884662,99.28339778313604,11
19,18.81422526478349,-103.90204402198,99.2807747112496,12
20,19.079503042773496,-103.661071799565,99.25864920573228,13
21,19.267697487368498,-104.043016244315,99.25269932579046,14
24,18.828114153683497,-103.924960688665,99.1395970350974,15
25,18.72672526471349,-103.77843291077,99.13804093278289,16
27,18.83644748702349,-103.938849577565,99.109961497301,17
29,19.403808598588498,-103.94440513312502,99.02898551706832,18
30,18.825336375903497,-103.920794021995,99.02601652314443,19
31,18.81839193145349,-103.908294021985,99.00152219259306,20
33,18.71283637581349,-103.71662735516502,98.97471195919508,21
34,18.71908637581849,-103.77009957743002,98.9743455088122,22
37,18.749641931398497,-103.80482179968,98.86828499552828,23
38,19.084364153888497,-103.661071799565,98.8623598770318,24
39,18.736447486943494,-103.788849577445,98.82754746684542,25
43,19.420475265268497,-103.941627355345,98.7633497239551,26
